IDENTIFICATION,BIRTHDAY,NAME,DIPLOMDATE,DIPLOMTYPE,DIPLOMMENTION,DIPLOMPERCENTAGE,DIPLOMSECTION,DIPLOMOPTION,DIPLOMPLACE,SCHOOL,SCHOOLPROVINCE,SCHOOLCODE,SCHOOLSTATUS,ACADYEAR,PERC1,MENT1,PERC2,MENT2,FAC,OPT,PROM
9539,1994-03-09,H,,DIPLÔME D'ETAT,,70,Technique,Construction,,Saint Marc,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,61.400001525878906,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Tronc commun,G0
9539,1994-03-09,H,,DIPLÔME D'ETAT,,70,Technique,Construction,,Saint Marc,NORD-KIVU,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,66.4000015258789,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Tronc commun,G1
9539,1994-03-09,H,,DIPLÔME D'ETAT,,70,Technique,Construction,,Saint Marc,NORD-KIVU,,inconnu,2015-2016,,ASSIMILE AUX AJOURNES,58.70000076293945,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Génie Civil,G2
9540,1995-07-20,H,,DIPLÔME D'ETAT,,67,Scientifique,Mathématique Physique,,Mwanga,SUD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,65.19999694824219,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Tronc commun,G0
9542,1996-12-12,H,,DIPLÔME D'ETAT,,53,Technique,Commerciale et Administrative,,Zanner,NORD-KIVU,,inconnu,2013-2014,47.20000076293945,AJOURNE,59.599998474121094,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G1
9542,1996-12-12,H,,DIPLÔME D'ETAT,,53,Technique,Commerciale et Administrative,,Zanner,NORD-KIVU,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,59.20000076293945,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G2
9542,1996-12-12,H,,DIPLÔME D'ETAT,,53,Technique,Commerciale et Administrative,,Zanner,NORD-KIVU,,inconnu,2015-2016,,ASSIMILE AUX AJOURNES,55.599998474121094,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G3
9543,1993-06-26,H,,DIPLÔME D'ETAT,,58,Pédagogique,Pédagogie Générale,,Fadhili,SUD-KIVU,,inconnu,2013-2014,52.5,AJOURNE,57.099998474121094,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G1
9543,1993-06-26,H,,DIPLÔME D'ETAT,,58,Pédagogique,Pédagogie Générale,,Fadhili,SUD-KIVU,,inconnu,2014-2015,48.29999923706055,AJOURNE,56.5,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G2
9543,1993-06-26,H,,DIPLÔME D'ETAT,,58,Pédagogique,Pédagogie Générale,,Fadhili,SUD-KIVU,,inconnu,2015-2016,54.5,AJOURNE,58.400001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G3
9544,1993-06-26,H,,DIPLÔME D'ETAT,,52,Technique,Commerciale et Administrative,,Zanner,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,,ASSIMILE AUX AJOURNES,Faculté des Sciences Économiques et de Gestion,Tronc commun,G1
9545,1989-04-14,H,,DIPLÔME D'ETAT,,65,Littéraire,Latin philo,,Bihira,NORD-KIVU,,inconnu,2013-2014,49.29999923706055,AJOURNE,57.5,SATISFACTION,Faculté de Droit,Droit Économique et Social,L1
9545,1989-04-14,H,,DIPLÔME D'ETAT,,65,Littéraire,Latin philo,,Bihira,NORD-KIVU,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,61.400001525878906,SATISFACTION,Faculté de Droit,Droit Économique et Social,L2
9546,1991-08-29,F,,DIPLÔME D'ETAT,,57,Pédagogique,Pédagogie Générale,,Autodidacte,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,43.29999923706055,AJOURNE,Faculté des Sciences Économiques et de Gestion,Tronc commun,G2
9546,1991-08-29,F,,DIPLÔME D'ETAT,,57,Pédagogique,Pédagogie Générale,,Autodidacte,NORD-KIVU,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,56.0,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G2
9546,1991-08-29,F,,DIPLÔME D'ETAT,,57,Pédagogique,Pédagogie Générale,,Autodidacte,NORD-KIVU,,inconnu,2015-2016,,ASSIMILE AUX AJOURNES,56.400001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G3
9547,1986-04-21,H,,DIPLÔME D'ETAT,,52,Pédagogique,Pédagogie Générale,,Visogho,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,59.599998474121094,SATISFACTION,Faculté de Psychologie et des Sciences de l'Éducation,Tronc commun,G1
9547,1986-04-21,H,,DIPLÔME D'ETAT,,52,Pédagogique,Pédagogie Générale,,Visogho,NORD-KIVU,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,59.70000076293945,SATISFACTION,Faculté de Psychologie et des Sciences de l'Éducation,Psychologie / Psychologie clinique,G2
9548,1992-11-15,H,,DIPLÔME D'ETAT,,50,Technique,Sociale,,Msawato,NORD-KIVU,,inconnu,2013-2014,54.599998474121094,AJOURNE,58.79999923706055,SATISFACTION,Faculté de Santé et Développement Communautaires,Tronc commun,G1
9548,1992-11-15,H,,DIPLÔME D'ETAT,,50,Technique,Sociale,,Msawato,NORD-KIVU,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,,ASSIMILE AUX AJOURNES,Faculté de Santé et Développement Communautaires,Tronc commun,G2
9549,1995-11-10,F,,DIPLÔME D'ETAT,,65,Technique,Commerciale et Administrative,,Collège Pierre Bouvet,NORD-KIVU,,inconnu,2013-2014,45.400001525878906,AJOURNE,51.29999923706055,AJOURNE,Faculté des Sciences Économiques et de Gestion,Tronc commun,G1
9549,1995-11-10,F,,DIPLÔME D'ETAT,,65,Technique,Commerciale et Administrative,,Collège Pierre Bouvet,NORD-KIVU,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,,AJOURNE,Faculté des Sciences Économiques et de Gestion,Tronc commun,G1
9551,1992-06-21,H,,DIPLÔME D'ETAT,,55,Scientifique,Biologie chimie,,Isidore Bakanja,NORD-KIVU,,inconnu,2013-2014,52.900001525878906,AJOURNE,55.5,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G1
9551,1992-06-21,H,,DIPLÔME D'ETAT,,55,Scientifique,Biologie chimie,,Isidore Bakanja,NORD-KIVU,,inconnu,2014-2015,54.79999923706055,AJOURNE,58.20000076293945,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G2
9551,1992-06-21,H,,DIPLÔME D'ETAT,,55,Scientifique,Biologie chimie,,Isidore Bakanja,NORD-KIVU,,inconnu,2015-2016,,ASSIMILE AUX AJOURNES,61.599998474121094,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G3
9552,1988-10-03,F,,DIPLÔME D'ETAT,,51,Pédagogique,Pédagogie Générale,,Kyeshero,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,,AJOURNE,Faculté de Santé et Développement Communautaires,Tronc commun,L0
9553,1993-03-31,H,,DIPLÔME D'ETAT,,53,Technique,Sociale,,Mont Carmel,NORD-KIVU,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,55.79999923706055,SATISFACTION,Faculté de Psychologie et des Sciences de l'Éducation,Psychologie / Psychologie clinique,G2
9553,1993-03-31,H,,DIPLÔME D'ETAT,,53,Technique,Sociale,,Mont Carmel,NORD-KIVU,,inconnu,2015-2016,,ASSIMILE AUX AJOURNES,64.0,SATISFACTION,Faculté de Psychologie et des Sciences de l'Éducation,Psychologie / Psychologie clinique,G3
9554,1995-07-27,H,,DIPLÔME D'ETAT,,54,Technique,Commerciale et Administrative,,Himbi,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,64.0999984741211,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G1
9555,1993-10-11,H,,DIPLÔME D'ETAT,,56,Technique,Commerciale et Administrative,,Mwanga,NORD-KIVU,,inconnu,2013-2014,50.099998474121094,AJOURNE,59.900001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G1
9555,1993-10-11,H,,DIPLÔME D'ETAT,,56,Technique,Commerciale et Administrative,,Mwanga,NORD-KIVU,,inconnu,2015-2016,,AJOURNE,58.400001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G3
9556,1993-04-24,H,,DIPLÔME D'ETAT,,51,Pédagogique,Pédagogie Générale,,Buturande,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,58.29999923706055,SATISFACTION,Faculté de Santé et Développement Communautaires,Tronc commun,G1
9557,1990-09-25,H,,DIPLÔME D'ETAT,,51,Technique,Sociale,,Kabanda,NORD-KIVU,,inconnu,2013-2014,44.5,AJOURNE,59.5,SATISFACTION,Faculté de Psychologie et des Sciences de l'Éducation,Tronc commun,G1
9557,1990-09-25,H,,DIPLÔME D'ETAT,,51,Technique,Sociale,,Kabanda,NORD-KIVU,,inconnu,2014-2015,46.29999923706055,AJOURNE,57.0,SATISFACTION,Faculté de Psychologie et des Sciences de l'Éducation,Psychologie / Psychologie clinique,G2
9557,1990-09-25,H,,DIPLÔME D'ETAT,,51,Technique,Sociale,,Kabanda,NORD-KIVU,,inconnu,2015-2016,,ASSIMILE AUX AJOURNES,58.20000076293945,SATISFACTION,Faculté de Psychologie et des Sciences de l'Éducation,Psychologie / Psychologie clinique,G3
9558,1986-05-14,H,,DIPLÔME D'ETAT,,51,Technique,Vétérinaire,,ITAV AMBELE,ORIENTALE,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,65.30000305175781,SATISFACTION,Faculté de Santé et Développement Communautaires,Tronc commun,L0
9558,1986-05-14,H,,DIPLÔME D'ETAT,,51,Technique,Vétérinaire,,ITAV AMBELE,ORIENTALE,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,61.20000076293945,SATISFACTION,Faculté de Santé et Développement Communautaires,Gestion et Administration des Projets de Santé,L1
9558,1986-05-14,H,,DIPLÔME D'ETAT,,51,Technique,Vétérinaire,,ITAV AMBELE,ORIENTALE,,inconnu,2015-2016,,ADMIS AU STAGE ET AU MEMOIRE,64.5,SATISFACTION,Faculté de Santé et Développement Communautaires,Gestion et Administration des Projets de Santé,L2
9560,1994-04-24,F,,DIPLÔME D'ETAT,,57,Technique,Sociale,,Lycée Sainte Ursule,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,52.0,AJOURNE,Faculté des Sciences Économiques et de Gestion,Tronc commun,G1
9560,1994-04-24,F,,DIPLÔME D'ETAT,,57,Technique,Sociale,,Lycée Sainte Ursule,NORD-KIVU,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,57.599998474121094,SATISFACTION,Faculté de Psychologie et des Sciences de l'Éducation,Psychologie / Psychologie clinique,G1
9560,1994-04-24,F,,DIPLÔME D'ETAT,,57,Technique,Sociale,,Lycée Sainte Ursule,NORD-KIVU,,inconnu,2015-2016,,ASSIMILE AUX AJOURNES,56.29999923706055,SATISFACTION,Faculté de Psychologie et des Sciences de l'Éducation,Psychologie / Psychologie clinique,G2
9561,1995-05-03,H,,DIPLÔME D'ETAT,,53,Technique,Commerciale et Administrative,,Mont Goma,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,54.5,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G1
9561,1995-05-03,H,,DIPLÔME D'ETAT,,53,Technique,Commerciale et Administrative,,Mont Goma,NORD-KIVU,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,57.70000076293945,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G2
9561,1995-05-03,H,,DIPLÔME D'ETAT,,53,Technique,Commerciale et Administrative,,Mont Goma,NORD-KIVU,,inconnu,2015-2016,,ASSIMILE AUX AJOURNES,,AJOURNE,Faculté des Sciences Économiques et de Gestion,Tronc commun,G3
9563,1111-11-11,F,,DIPLÔME D'ETAT,,0,1A,aa,,,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,,ASSIMILE AUX AJOURNES,Faculté de Psychologie et des Sciences de l'Éducation,Tronc commun,G1
9564,1995-08-18,H,,DIPLÔME D'ETAT,,0,A,A1,,,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,58.900001525878906,SATISFACTION,Faculté de Santé et Développement Communautaires,Tronc commun,G1
9564,1995-08-18,H,,DIPLÔME D'ETAT,,0,A,A1,,,NORD-KIVU,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,60.599998474121094,SATISFACTION,Faculté de Santé et Développement Communautaires,Tronc commun,G2
9564,1995-08-18,H,,DIPLÔME D'ETAT,,0,A,A1,,,NORD-KIVU,,inconnu,2015-2016,,ADMIS AU TFC,63.29999923706055,SATISFACTION,Faculté de Santé et Développement Communautaires,Tronc commun,G3
9565,1992-08-15,H,,DIPLÔME D'ETAT,,61,Technique,Sociale,,ICL,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,53.900001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G1
9565,1992-08-15,H,,DIPLÔME D'ETAT,,61,Technique,Sociale,,ICL,NORD-KIVU,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,,AJOURNE,Faculté des Sciences Économiques et de Gestion,Tronc commun,G2
9566,1989-04-01,H,,DIPLÔME D'ETAT,,53,Scientifique,Mathématique Physique,,Majengo,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,,ASSIMILE AUX AJOURNES,Faculté des Sciences et Technologies Appliquées,Tronc commun,G0
9567,1994-05-03,F,,DIPLÔME D'ETAT,,50,Pédagogique,Pédagogie Générale,,ICL,NORD-KIVU,,inconnu,2013-2014,53.70000076293945,AJOURNE,59.5,SATISFACTION,Faculté de Santé et Développement Communautaires,Tronc commun,G1
9567,1994-05-03,F,,DIPLÔME D'ETAT,,50,Pédagogique,Pédagogie Générale,,ICL,NORD-KIVU,,inconnu,2014-2015,49.400001525878906,AJOURNE,60.20000076293945,SATISFACTION,Faculté de Santé et Développement Communautaires,Tronc commun,G2
9567,1994-05-03,F,,DIPLÔME D'ETAT,,50,Pédagogique,Pédagogie Générale,,ICL,NORD-KIVU,,inconnu,2015-2016,55.20000076293945,AJOURNE,58.20000076293945,SATISFACTION,Faculté de Santé et Développement Communautaires,Tronc commun,G3
9568,1993-04-18,F,,DIPLÔME D'ETAT,,55,Technique,Sociale,,Maendeleo,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,,AJOURNE,Faculté de Santé et Développement Communautaires,Tronc commun,G1
9569,1994-06-24,F,,DIPLÔME D'ETAT,,62,Technique,Sociale,,CS KIYABO,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,,ASSIMILE AUX AJOURNES,Faculté des Sciences Économiques et de Gestion,Tronc commun,G1
9570,1993-10-08,H,,DIPLÔME D'ETAT,,58,Technique,Sociale,,Totoro,NORD-KIVU,,inconnu,2013-2014,41.79999923706055,AJOURNE,56.099998474121094,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G1
9570,1993-10-08,H,,DIPLÔME D'ETAT,,58,Technique,Sociale,,Totoro,NORD-KIVU,,inconnu,2014-2015,51.599998474121094,AJOURNE,55.599998474121094,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G2
9570,1993-10-08,H,,DIPLÔME D'ETAT,,58,Technique,Sociale,,Totoro,NORD-KIVU,,inconnu,2015-2016,,AJOURNE,60.79999923706055,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G3
9571,1994-05-14,H,,DIPLÔME D'ETAT,,54,Scientifique,Biologie chimie,,Maranatha,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,47.5,AJOURNE,Faculté des Sciences et Technologies Appliquées,Tronc commun,G0
9573,1111-11-11,F,,DIPLÔME D'ETAT,,0,A,aa,,,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,30.299999237060547,NON ADMISSIBLE DS LA MEME FILIERE,Faculté des Sciences et Technologies Appliquées,Tronc commun,G1
9575,1111-11-11,H,,DIPLÔME D'ETAT,,0,A,A1,,,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,58.400001525878906,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Tronc commun,G1
9576,1993-01-05,H,,DIPLÔME D'ETAT,,62,Scientifique,Biologie Chimie,,Metanoia,NORD-KIVU,,inconnu,2013-2014,55.0,AJOURNE,71.30000305175781,DISTINCTION,Faculté des Sciences et Technologies Appliquées,Tronc commun,G1
9576,1993-01-05,H,,DIPLÔME D'ETAT,,62,Scientifique,Biologie Chimie,,Metanoia,NORD-KIVU,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,68.19999694824219,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Génie Civil,G2
9576,1993-01-05,H,,DIPLÔME D'ETAT,,62,Scientifique,Biologie Chimie,,Metanoia,NORD-KIVU,,inconnu,2015-2016,,ASSIMILE AUX AJOURNES,71.69999694824219,DISTINCTION,Faculté des Sciences et Technologies Appliquées,Génie Civil,G3
9577,1993-09-14,H,,DIPLÔME D'ETAT,,55,Scientifique,Biologie chimie,,INSTITUT DE GOMA,NORD-KIVU,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,57.70000076293945,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Génie Civil,G2
9577,1993-09-14,H,,DIPLÔME D'ETAT,,55,Scientifique,Biologie chimie,,INSTITUT DE GOMA,NORD-KIVU,,inconnu,2015-2016,,ASSIMILE AUX AJOURNES,61.20000076293945,SATISFACTION,Faculté des Sciences et Technologies Appliquées,Génie Civil,G3
9578,1111-11-11,H,,DIPLÔME D'ETAT,,0,A,A1,,,NORD-KIVU,,inconnu,2013-2014,41.900001525878906,AJOURNE,46.79999923706055,AJOURNE,Faculté des Sciences et Technologies Appliquées,Tronc commun,G1
9578,1111-11-11,H,,DIPLÔME D'ETAT,,0,A,A1,,,NORD-KIVU,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,45.599998474121094,AJOURNE,Faculté des Sciences et Technologies Appliquées,Tronc commun,G1
9580,1986-05-05,H,,DIPLÔME D'ETAT,,52,Scientifique,Mathématique Physique,,Wamaza,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,36.400001525878906,NON ADMISSIBLE DS LA MEME FILIERE,Faculté de Droit,Tronc commun,G2
9581,1989-11-20,H,,DIPLÔME D'ETAT,,55,Pédagogique,Pédagogie Générale,,Isidore Bakanja,NORD-KIVU,,inconnu,2013-2014,52.900001525878906,AJOURNE,59.0,SATISFACTION,Faculté de Santé et Développement Communautaires,Tronc commun,G1
9581,1989-11-20,H,,DIPLÔME D'ETAT,,55,Pédagogique,Pédagogie Générale,,Isidore Bakanja,NORD-KIVU,,inconnu,2014-2015,56.20000076293945,AJOURNE,58.70000076293945,SATISFACTION,Faculté de Santé et Développement Communautaires,Tronc commun,G2
9581,1989-11-20,H,,DIPLÔME D'ETAT,,55,Pédagogique,Pédagogie Générale,,Isidore Bakanja,NORD-KIVU,,inconnu,2015-2016,,AJOURNE,60.20000076293945,SATISFACTION,Faculté de Santé et Développement Communautaires,Tronc commun,G3
9582,1996-12-19,F,,DIPLÔME D'ETAT,,58,Littéraire,Latin philo,,Zanner,NORD-KIVU,,inconnu,2013-2014,51.099998474121094,AJOURNE,58.400001525878906,SATISFACTION,Faculté de Droit,Tronc commun,G1
9582,1996-12-19,F,,DIPLÔME D'ETAT,,58,Littéraire,Latin philo,,Zanner,NORD-KIVU,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,60.29999923706055,SATISFACTION,Faculté de Droit,Tronc commun,G2
9583,1985-10-02,F,,DIPLÔME D'ETAT,,50,Pédagogique,Pédagogie Générale,,Bukavu,SUD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,56.599998474121094,SATISFACTION,Faculté de Droit,Droit Public,L1
9583,1985-10-02,F,,DIPLÔME D'ETAT,,50,Pédagogique,Pédagogie Générale,,Bukavu,SUD-KIVU,,inconnu,2014-2015,,AJOURNE,62.20000076293945,SATISFACTION,Faculté de Droit,Droit Public,L2
9584,1995-05-23,F,,DIPLÔME D'ETAT,,60,Pédagogique,Pédagogie Générale,,Mulo,NORD-KIVU,,inconnu,2013-2014,50.5,AJOURNE,57.0,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G1
9584,1995-05-23,F,,DIPLÔME D'ETAT,,60,Pédagogique,Pédagogie Générale,,Mulo,NORD-KIVU,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,58.599998474121094,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G2
9585,1991-09-13,F,,DIPLÔME D'ETAT,,50,Technique,Commerciale et Administrative,,Ahenée de Butembo,NORD-KIVU,,inconnu,2013-2014,51.20000076293945,AJOURNE,56.900001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G3
9585,1991-09-13,F,,DIPLÔME D'ETAT,,50,Technique,Commerciale et Administrative,,Ahenée de Butembo,NORD-KIVU,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,55.5,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L1
9585,1991-09-13,F,,DIPLÔME D'ETAT,,50,Technique,Commerciale et Administrative,,Ahenée de Butembo,NORD-KIVU,,inconnu,2015-2016,,ASSIMILE AUX AJOURNES,59.400001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Gestion des Entreprises,L2
9587,1984-07-07,F,,DIPLÔME D'ETAT,,51,Pédagogique,Pédagogie Générale,,KILUKU,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,60.900001525878906,SATISFACTION,Faculté de Santé et Développement Communautaires,Tronc commun,G1
9587,1984-07-07,F,,DIPLÔME D'ETAT,,51,Pédagogique,Pédagogie Générale,,KILUKU,NORD-KIVU,,inconnu,2014-2015,60.400001525878906,AJOURNE,62.20000076293945,SATISFACTION,Faculté de Santé et Développement Communautaires,Tronc commun,G2
9588,1988-04-04,H,,DIPLÔME D'ETAT,,51,Pédagogique,Pédagogie Générale,,TAJI DANKIER,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,59.5,SATISFACTION,Faculté de Théologie,Tronc commun,G1
9588,1988-04-04,H,,DIPLÔME D'ETAT,,51,Pédagogique,Pédagogie Générale,,TAJI DANKIER,NORD-KIVU,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,,AJOURNE,Faculté de Théologie,Tronc commun,G2
9588,1988-04-04,H,,DIPLÔME D'ETAT,,51,Pédagogique,Pédagogie Générale,,TAJI DANKIER,NORD-KIVU,,inconnu,2015-2016,,ASSIMILE AUX AJOURNES,58.70000076293945,SATISFACTION,Faculté de Théologie,Tronc commun,G2
9589,1992-07-22,H,,DIPLÔME D'ETAT,,60,Scientifique,Biologie chimie,,Tuadibishe,NORD-KIVU,,inconnu,2013-2014,45.70000076293945,AJOURNE,55.70000076293945,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G1
9589,1992-07-22,H,,DIPLÔME D'ETAT,,60,Scientifique,Biologie chimie,,Tuadibishe,NORD-KIVU,,inconnu,2014-2015,54.29999923706055,AJOURNE,60.0,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G2
9589,1992-07-22,H,,DIPLÔME D'ETAT,,60,Scientifique,Biologie chimie,,Tuadibishe,NORD-KIVU,,inconnu,2015-2016,,ASSIMILE AUX AJOURNES,59.900001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G3
9590,1992-04-08,F,,DIPLÔME D'ETAT,,52,Scientifique,Biologie chimie,,Kyeshero,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,,ASSIMILE AUX AJOURNES,Faculté des Sciences et Technologies Appliquées,Tronc commun,G0
9591,1993-12-25,H,,DIPLÔME D'ETAT,,56,Technique,Commerciale et Administrative,,Mwanga,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,61.20000076293945,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G2
9591,1993-12-25,H,,DIPLÔME D'ETAT,,56,Technique,Commerciale et Administrative,,Mwanga,NORD-KIVU,,inconnu,2014-2015,,ADMIS AU TFC,59.400001525878906,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Tronc commun,G3
9591,1993-12-25,H,,DIPLÔME D'ETAT,,56,Technique,Commerciale et Administrative,,Mwanga,NORD-KIVU,,inconnu,2015-2016,,ASSIMILE AUX AJOURNES,60.5,SATISFACTION,Faculté des Sciences Économiques et de Gestion,Économie Monétaire,L1
9596,1993-07-30,H,,DIPLÔME D'ETAT,,53,Pédagogique,Pédagogie Générale,,AMKENI,NORD-KIVU,,inconnu,2014-2015,,AJOURNE,64.19999694824219,SATISFACTION,Faculté de Théologie,Tronc commun,G3
9596,1993-07-30,H,,DIPLÔME D'ETAT,,53,Pédagogique,Pédagogie Générale,,AMKENI,NORD-KIVU,,inconnu,2015-2016,,ASSIMILE AUX AJOURNES,63.79999923706055,SATISFACTION,Faculté de Théologie,Tronc commun,L1
9598,1981-03-20,H,,DIPLÔME D'ETAT,,54,Pédagogique,Pédagogie Générale,,Ndoluma,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,61.400001525878906,SATISFACTION,Faculté de Théologie,Tronc commun,G2
9598,1981-03-20,H,,DIPLÔME D'ETAT,,54,Pédagogique,Pédagogie Générale,,Ndoluma,NORD-KIVU,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,61.599998474121094,SATISFACTION,Faculté de Théologie,Tronc commun,G3
9599,1988-03-03,F,,DIPLÔME D'ETAT,,59,Littéraire,Latin Philo,,Himbi,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,60.29999923706055,SATISFACTION,Faculté de Théologie,Tronc commun,G2
9599,1988-03-03,F,,DIPLÔME D'ETAT,,59,Littéraire,Latin Philo,,Himbi,NORD-KIVU,,inconnu,2014-2015,,AJOURNE,60.400001525878906,SATISFACTION,Faculté de Théologie,Tronc commun,G3
9599,1988-03-03,F,,DIPLÔME D'ETAT,,59,Littéraire,Latin Philo,,Himbi,NORD-KIVU,,inconnu,2015-2016,,ASSIMILE AUX AJOURNES,59.400001525878906,SATISFACTION,Faculté de Théologie,Tronc commun,L1
9600,1993-03-03,F,,DIPLÔME D'ETAT,,59,Pédagogique,Pédagogie générale,,Lycée Kimbilio,NORD-KIVU,,inconnu,2014-2015,,ADMIS AU STAGE ET AU TFC,63.79999923706055,SATISFACTION,Faculté de Droit,Droit Privé et Judiciaire,G3
9601,1993-09-13,H,,DIPLÔME D'ETAT,,0,A,A,,,NORD-KIVU,,inconnu,2013-2014,,ASSIMILE AUX AJOURNES,54.20000076293945,SATISFACTION,Faculté de Droit,Tronc commun,G2
9601,1993-09-13,H,,DIPLÔME D'ETAT,,0,A,A,,,NORD-KIVU,,inconnu,2014-2015,,ASSIMILE AUX AJOURNES,62.20000076293945,SATISFACTION,Faculté de Droit,Droit Public,G3
